Sample	Family.ID	SubPopulation	Population.Description	Gender	Population
HG02471	BB49	ACB	African Caribbean in Barbados	female	AFR
HG01890	BB05	ACB	African Caribbean in Barbados	male	AFR
HG01889	BB05	ACB	African Caribbean in Barbados	female	AFR
HG01891	BB05	ACB	African Caribbean in Barbados	female	AFR
HG02450	BB46	ACB	African Caribbean in Barbados	female	AFR
HG02108	BB18	ACB	African Caribbean in Barbados	female	AFR
HG02307	BB23	ACB	African Caribbean in Barbados	male	AFR
HG02055	BB15	ACB	African Caribbean in Barbados	male	AFR
HG02256	BB21	ACB	African Caribbean in Barbados	female	AFR
HG01879	BB01	ACB	African Caribbean in Barbados	male	AFR
HG02339	BB34	ACB	African Caribbean in Barbados	female	AFR
HG02343	BB35	ACB	African Caribbean in Barbados	male	AFR
HG01956	BB03	ACB	African Caribbean in Barbados	female	AFR
HG01887	BB04	ACB	African Caribbean in Barbados	male	AFR
HG02554	BB67	ACB	African Caribbean in Barbados	male	AFR
HG02316	BB27	ACB	African Caribbean in Barbados	male	AFR
HG02317	BB27	ACB	African Caribbean in Barbados	male	AFR
HG02318	BB27	ACB	African Caribbean in Barbados	female	AFR
HG02321	BB24	ACB	African Caribbean in Barbados	female	AFR
HG02322	BB28	ACB	African Caribbean in Barbados	female	AFR
HG02323	BB29	ACB	African Caribbean in Barbados	male	AFR
HG02330	BB33	ACB	African Caribbean in Barbados	male	AFR
HG02484	BB55	ACB	African Caribbean in Barbados	male	AFR
HG02485	BB55	ACB	African Caribbean in Barbados	female	AFR
HG02315	BB22	ACB	African Caribbean in Barbados	female	AFR
HG02489	BB45	ACB	African Caribbean in Barbados	male	AFR
HG02470	BB49	ACB	African Caribbean in Barbados	male	AFR
HG01959	BB10	ACB	African Caribbean in Barbados	female	AFR
HG02280	BB23	ACB	African Caribbean in Barbados	female	AFR
HG02281	BB24	ACB	African Caribbean in Barbados	male	AFR
HG02449	BB46	ACB	African Caribbean in Barbados	male	AFR
HG02577	BB69	ACB	African Caribbean in Barbados	female	AFR
HG02496	BB57	ACB	African Caribbean in Barbados	male	AFR
HG02497	BB57	ACB	African Caribbean in Barbados	female	AFR
HG02501	BB58	ACB	African Caribbean in Barbados	male	AFR
HG02502	BB58	ACB	African Caribbean in Barbados	female	AFR
HG02505	BB59	ACB	African Caribbean in Barbados	female	AFR
HG02486	BB55	ACB	African Caribbean in Barbados	male	AFR
HG01885	BB03	ACB	African Caribbean in Barbados	male	AFR
HG01886	BB04	ACB	African Caribbean in Barbados	female	AFR
HG02436	BB40	ACB	African Caribbean in Barbados	male	AFR
HG01888	BB02	ACB	African Caribbean in Barbados	male	AFR
HG02442	BB43	ACB	African Caribbean in Barbados	male	AFR
HG01990	BB12	ACB	African Caribbean in Barbados	male	AFR
HG02107	BB18	ACB	African Caribbean in Barbados	male	AFR
HG02052	BB14	ACB	African Caribbean in Barbados	female	AFR
HG02053	BB15	ACB	African Caribbean in Barbados	male	AFR
HG02536	BB61	ACB	African Caribbean in Barbados	male	AFR
HG02309	BB25	ACB	African Caribbean in Barbados	female	AFR
HG01897	BB07	ACB	African Caribbean in Barbados	male	AFR
HG02258	BB22	ACB	African Caribbean in Barbados	male	AFR
HG02545	BB64	ACB	African Caribbean in Barbados	male	AFR
HG02546	BB64	ACB	African Caribbean in Barbados	female	AFR
HG01958	BB10	ACB	African Caribbean in Barbados	female	AFR
HG02010	BB13	ACB	African Caribbean in Barbados	female	AFR
HG02009	BB13	ACB	African Caribbean in Barbados	male	AFR
HG01883	BB02	ACB	African Caribbean in Barbados	female	AFR
HG02445	BB44	ACB	African Caribbean in Barbados	male	AFR
HG02283	BB25	ACB	African Caribbean in Barbados	male	AFR
HG02257	BB21	ACB	African Caribbean in Barbados	female	AFR
HG02580	BB70	ACB	African Caribbean in Barbados	female	AFR
HG02054	BB15	ACB	African Caribbean in Barbados	female	AFR
HG02433	BB41	ACB	African Caribbean in Barbados	male	AFR
HG02095	BB16	ACB	African Caribbean in Barbados	female	AFR
HG02428	BB37	ACB	African Caribbean in Barbados	male	AFR
HG02429	BB39	ACB	African Caribbean in Barbados	male	AFR
HG01884	BB03	ACB	African Caribbean in Barbados	female	AFR
HG02051	BB14	ACB	African Caribbean in Barbados	male	AFR
HG02439	BB42	ACB	African Caribbean in Barbados	male	AFR
HG02511	BB56	ACB	African Caribbean in Barbados	female	AFR
HG02541	BB63	ACB	African Caribbean in Barbados	male	AFR
HG01880	BB01	ACB	African Caribbean in Barbados	female	AFR
HG02547	BB64	ACB	African Caribbean in Barbados	male	AFR
HG02314	BB22	ACB	African Caribbean in Barbados	male	AFR
HG01986	BB10	ACB	African Caribbean in Barbados	male	AFR
HG01988	BB11	ACB	African Caribbean in Barbados	male	AFR
HG01989	BB11	ACB	African Caribbean in Barbados	female	AFR
HG02549	BB65	ACB	African Caribbean in Barbados	female	AFR
HG02537	BB61	ACB	African Caribbean in Barbados	female	AFR
HG02508	BB60	ACB	African Caribbean in Barbados	female	AFR
HG01987	BB12	ACB	African Caribbean in Barbados	male	AFR
HG01881	BB01	ACB	African Caribbean in Barbados	female	AFR
HG01882	BB02	ACB	African Caribbean in Barbados	male	AFR
HG01985	BB08	ACB	African Caribbean in Barbados	female	AFR
NA19625	2357	ASW	African Ancestry in Southwest US	female	AFR
NA19828	2418	ASW	African Ancestry in Southwest US	male	AFR
NA19834	2424	ASW	African Ancestry in Southwest US	male	AFR
NA19835	2424	ASW	African Ancestry in Southwest US	female	AFR
NA19836	2424	ASW	African Ancestry in Southwest US	female	AFR
NA19900	2425	ASW	African Ancestry in Southwest US	male	AFR
NA19901	2425	ASW	African Ancestry in Southwest US	female	AFR
NA19902	2425	ASW	African Ancestry in Southwest US	female	AFR
NA19904	2426	ASW	African Ancestry in Southwest US	male	AFR
NA19905	2426	ASW	African Ancestry in Southwest US	female	AFR
NA19908	2427	ASW	African Ancestry in Southwest US	male	AFR
NA19909	2427	ASW	African Ancestry in Southwest US	female	AFR
NA19913	2426a	ASW	African Ancestry in Southwest US	female	AFR
NA19914	2430	ASW	African Ancestry in Southwest US	female	AFR
NA19915	2430	ASW	African Ancestry in Southwest US	male	AFR
NA19916	2431	ASW	African Ancestry in Southwest US	male	AFR
NA19917	2431	ASW	African Ancestry in Southwest US	female	AFR
NA19918	2431	ASW	African Ancestry in Southwest US	male	AFR
NA19919	2427	ASW	African Ancestry in Southwest US	male	AFR
NA19920	2433	ASW	African Ancestry in Southwest US	male	AFR
NA19921	2433	ASW	African Ancestry in Southwest US	female	AFR
NA19922	2434	ASW	African Ancestry in Southwest US	male	AFR
NA19923	2434	ASW	African Ancestry in Southwest US	female	AFR
NA19924	2434	ASW	African Ancestry in Southwest US	female	AFR
NA19982	2436	ASW	African Ancestry in Southwest US	male	AFR
NA19983	2436	ASW	African Ancestry in Southwest US	female	AFR
NA19984	2437a	ASW	African Ancestry in Southwest US	male	AFR
NA19985	2437	ASW	African Ancestry in Southwest US	female	AFR
NA20126	2446	ASW	African Ancestry in Southwest US	male	AFR
NA20127	2446	ASW	African Ancestry in Southwest US	female	AFR
NA20128	2446	ASW	African Ancestry in Southwest US	female	AFR
NA20129	2433	ASW	African Ancestry in Southwest US	female	AFR
NA20274	2357a	ASW	African Ancestry in Southwest US	female	AFR
NA20276	2466	ASW	African Ancestry in Southwest US	female	AFR
NA20277	2466	ASW	African Ancestry in Southwest US	female	AFR
NA20278	2467	ASW	African Ancestry in Southwest US	male	AFR
NA19700	2367	ASW	African Ancestry in Southwest US	male	AFR
NA19701	2367	ASW	African Ancestry in Southwest US	female	AFR
NA19702	2367	ASW	African Ancestry in Southwest US	male	AFR
NA19703	2368	ASW	African Ancestry in Southwest US	male	AFR
NA19704	2368	ASW	African Ancestry in Southwest US	female	AFR
NA19705	2368	ASW	African Ancestry in Southwest US	male	AFR
NA19707	2369	ASW	African Ancestry in Southwest US	female	AFR
NA19708	2369	ASW	African Ancestry in Southwest US	female	AFR
NA19711	2371	ASW	African Ancestry in Southwest US	male	AFR
NA19712	2371	ASW	African Ancestry in Southwest US	female	AFR
NA19713	2436	ASW	African Ancestry in Southwest US	female	AFR
NA19714	2437	ASW	African Ancestry in Southwest US	female	AFR
NA20295	2474	ASW	African Ancestry in Southwest US	male	AFR
NA20296	2475	ASW	African Ancestry in Southwest US	female	AFR
NA20297	2475	ASW	African Ancestry in Southwest US	male	AFR
NA20298	2476a	ASW	African Ancestry in Southwest US	male	AFR
NA20299	2476	ASW	African Ancestry in Southwest US	female	AFR
NA20300	2476	ASW	African Ancestry in Southwest US	female	AFR
NA20301	2477	ASW	African Ancestry in Southwest US	female	AFR
NA20302	2477	ASW	African Ancestry in Southwest US	male	AFR
NA20312	2478i	ASW	African Ancestry in Southwest US	female	AFR
NA20313	2478ii	ASW	African Ancestry in Southwest US	female	AFR
NA20314	2479	ASW	African Ancestry in Southwest US	female	AFR
NA20316	2479	ASW	African Ancestry in Southwest US	male	AFR
NA20317	2480	ASW	African Ancestry in Southwest US	female	AFR
NA20318	2480a	ASW	African Ancestry in Southwest US	male	AFR
NA20319	2480	ASW	African Ancestry in Southwest US	female	AFR
NA20320	2481a	ASW	African Ancestry in Southwest US	female	AFR
NA20321	2481	ASW	African Ancestry in Southwest US	female	AFR
NA20322	2481	ASW	African Ancestry in Southwest US	female	AFR
NA20332	2483	ASW	African Ancestry in Southwest US	female	AFR
NA20333	2483	ASW	African Ancestry in Southwest US	female	AFR
NA20334	2484	ASW	African Ancestry in Southwest US	female	AFR
NA20335	2484	ASW	African Ancestry in Southwest US	male	AFR
NA20336	2485	ASW	African Ancestry in Southwest US	female	AFR
NA20337	2485	ASW	African Ancestry in Southwest US	female	AFR
NA20339	2486	ASW	African Ancestry in Southwest US	female	AFR
NA20340	2487	ASW	African Ancestry in Southwest US	male	AFR
NA20341	2487	ASW	African Ancestry in Southwest US	female	AFR
NA20342	2488	ASW	African Ancestry in Southwest US	male	AFR
NA20343	2488	ASW	African Ancestry in Southwest US	male	AFR
NA20344	2489	ASW	African Ancestry in Southwest US	female	AFR
NA20345	2489	ASW	African Ancestry in Southwest US	male	AFR
NA20346	2490	ASW	African Ancestry in Southwest US	male	AFR
NA20347	2490	ASW	African Ancestry in Southwest US	male	AFR
NA20348	2491	ASW	African Ancestry in Southwest US	male	AFR
NA20349	2492	ASW	African Ancestry in Southwest US	male	AFR
NA20350	2492	ASW	African Ancestry in Southwest US	male	AFR
NA20351	2493	ASW	African Ancestry in Southwest US	male	AFR
NA20355	2484a	ASW	African Ancestry in Southwest US	female	AFR
NA20356	2494	ASW	African Ancestry in Southwest US	male	AFR
NA20357	2494	ASW	African Ancestry in Southwest US	female	AFR
NA20358	2494	ASW	African Ancestry in Southwest US	male	AFR
NA20359	2495	ASW	African Ancestry in Southwest US	female	AFR
NA20360	2495	ASW	African Ancestry in Southwest US	male	AFR
NA20361	2495	ASW	African Ancestry in Southwest US	female	AFR
NA20362	2495a	ASW	African Ancestry in Southwest US	male	AFR
NA20363	2496	ASW	African Ancestry in Southwest US	female	AFR
NA20364	2496	ASW	African Ancestry in Southwest US	female	AFR
NA20412	2505	ASW	African Ancestry in Southwest US	female	AFR
NA20413	2505	ASW	African Ancestry in Southwest US	male	AFR
NA20414	2506	ASW	African Ancestry in Southwest US	female	AFR
NA20289	2471	ASW	African Ancestry in Southwest US	female	AFR
NA20290	2471	ASW	African Ancestry in Southwest US	female	AFR
NA20291	2472	ASW	African Ancestry in Southwest US	male	AFR
NA20292	2472	ASW	African Ancestry in Southwest US	female	AFR
NA20294	2474	ASW	African Ancestry in Southwest US	female	AFR
NA19818	2418	ASW	African Ancestry in Southwest US	male	AFR
NA20279	2467	ASW	African Ancestry in Southwest US	male	AFR
NA20281	2469a	ASW	African Ancestry in Southwest US	male	AFR
NA20282	2469	ASW	African Ancestry in Southwest US	female	AFR
NA19819	2418	ASW	African Ancestry in Southwest US	female	AFR
NA20287	2470	ASW	African Ancestry in Southwest US	female	AFR
NA20288	2470	ASW	African Ancestry in Southwest US	male	AFR
NA20284	2469	ASW	African Ancestry in Southwest US	male	AFR
NA20285	2469	ASW	African Ancestry in Southwest US	male	AFR
HG03920	BD35	BEB	Bengali in Bangladesh	male	SAS
HG03928	BD38	BEB	Bengali in Bangladesh	female	SAS
HG03927	BD37	BEB	Bengali in Bangladesh	female	SAS
HG03832	BD28	BEB	Bengali in Bangladesh	female	SAS
HG03833	BD28	BEB	Bengali in Bangladesh	male	SAS
HG03831	BD27	BEB	Bengali in Bangladesh	female	SAS
HG03817	BD23	BEB	Bengali in Bangladesh	female	SAS
HG03821	BD24	BEB	Bengali in Bangladesh	male	SAS
HG03834	BD28	BEB	Bengali in Bangladesh	female	SAS
HG03926	BD37	BEB	Bengali in Bangladesh	male	SAS
HG03012	BD3	BEB	Bengali in Bangladesh	male	SAS
HG03813	BD21	BEB	Bengali in Bangladesh	female	SAS
HG03822	BD24	BEB	Bengali in Bangladesh	male	SAS
HG03922	BD36	BEB	Bengali in Bangladesh	female	SAS
HG03924	BD36	BEB	Bengali in Bangladesh	female	SAS
HG03925	BD37	BEB	Bengali in Bangladesh	female	SAS
HG03814	BD22	BEB	Bengali in Bangladesh	female	SAS
HG04177	BD59	BEB	Bengali in Bangladesh	female	SAS
HG03929	BD38	BEB	Bengali in Bangladesh	male	SAS
HG03930	BD38	BEB	Bengali in Bangladesh	female	SAS
HG03606	BD11	BEB	Bengali in Bangladesh	male	SAS
HG03009	HG03009	BEB	Bengali in Bangladesh	male	SAS
HG03007	BD01	BEB	Bengali in Bangladesh	female	SAS
HG03812	HG03812	BEB	Bengali in Bangladesh	male	SAS
HG03830	BD27	BEB	Bengali in Bangladesh	male	SAS
HG03939	BD41	BEB	Bengali in Bangladesh	female	SAS
HG03940	BD42	BEB	Bengali in Bangladesh	female	SAS
HG03941	BD42	BEB	Bengali in Bangladesh	male	SAS
HG03942	BD42	BEB	Bengali in Bangladesh	male	SAS
HG04175	BD58	BEB	Bengali in Bangladesh	female	SAS
HG03607	BD11	BEB	Bengali in Bangladesh	female	SAS
HG03611	BD12	BEB	Bengali in Bangladesh	female	SAS
HG03823	BD25	BEB	Bengali in Bangladesh	female	SAS
HG03824	BD25	BEB	Bengali in Bangladesh	male	SAS
HG03006	BD01	BEB	Bengali in Bangladesh	male	SAS
HG03811	BD21	BEB	Bengali in Bangladesh	female	SAS
HG03829	BD27	BEB	Bengali in Bangladesh	female	SAS
HG03008	BD01	BEB	Bengali in Bangladesh	male	SAS
HG04188	BD63	BEB	Bengali in Bangladesh	male	SAS
HG04189	BD63	BEB	Bengali in Bangladesh	female	SAS
HG04191	BD64	BEB	Bengali in Bangladesh	male	SAS
HG04192	BD64	BEB	Bengali in Bangladesh	female	SAS
HG04193	BD64	BEB	Bengali in Bangladesh	male	SAS
HG04176	BD59	BEB	Bengali in Bangladesh	male	SAS
HG04153	BD51	BEB	Bengali in Bangladesh	female	SAS
HG04180	BD60	BEB	Bengali in Bangladesh	female	SAS
HG04181	BD60	BEB	Bengali in Bangladesh	female	SAS
HG03825	BD25	BEB	Bengali in Bangladesh	female	SAS
HG03826	BD26	BEB	Bengali in Bangladesh	female	SAS
HG03795	BD15	BEB	Bengali in Bangladesh	male	SAS
HG03916	HG03916	BEB	Bengali in Bangladesh	female	SAS
HG03917	BD34	BEB	Bengali in Bangladesh	male	SAS
HG03919	BD35	BEB	Bengali in Bangladesh	female	SAS
HG03603	BD10	BEB	Bengali in Bangladesh	male	SAS
HG03604	BD10	BEB	Bengali in Bangladesh	female	SAS
HG03605	BD11	BEB	Bengali in Bangladesh	female	SAS
HG03816	BD22	BEB	Bengali in Bangladesh	female	SAS
HG03589	BD05	BEB	Bengali in Bangladesh	female	SAS
HG04155	BD52	BEB	Bengali in Bangladesh	male	SAS
HG03615	BD14	BEB	Bengali in Bangladesh	male	SAS
HG03793	BD15	BEB	Bengali in Bangladesh	female	SAS
HG03794	BD15	BEB	Bengali in Bangladesh	male	SAS
HG03915	BD33	BEB	Bengali in Bangladesh	female	SAS
HG03934	BD40	BEB	Bengali in Bangladesh	female	SAS
HG03937	BD41	BEB	Bengali in Bangladesh	female	SAS
HG04162	BD54	BEB	Bengali in Bangladesh	female	SAS
HG04164	BD55	BEB	Bengali in Bangladesh	male	SAS
HG04171	BD57	BEB	Bengali in Bangladesh	female	SAS
HG04173	BD58	BEB	Bengali in Bangladesh	male	SAS
HG04174	BD58	BEB	Bengali in Bangladesh	female	SAS
HG04152	BD51	BEB	Bengali in Bangladesh	male	SAS
HG03590	BD05	BEB	Bengali in Bangladesh	male	SAS
HG03593	BD6	BEB	Bengali in Bangladesh	male	SAS
HG03616	BD14	BEB	Bengali in Bangladesh	female	SAS
HG03617	BD14	BEB	Bengali in Bangladesh	female	SAS
HG03931	BD39	BEB	Bengali in Bangladesh	female	SAS
HG04183	BD61	BEB	Bengali in Bangladesh	female	SAS
HG04128	BD43	BEB	Bengali in Bangladesh	male	SAS
HG04131	BD44	BEB	Bengali in Bangladesh	male	SAS
HG04132	BD44	BEB	Bengali in Bangladesh	female	SAS
HG04133	BD44	BEB	Bengali in Bangladesh	female	SAS
HG03585	BD4	BEB	Bengali in Bangladesh	male	SAS
HG03587	BD4	BEB	Bengali in Bangladesh	female	SAS
HG03801	BD17	BEB	Bengali in Bangladesh	female	SAS
HG03802	BD18	BEB	Bengali in Bangladesh	female	SAS
HG03803	BD18	BEB	Bengali in Bangladesh	male	SAS
HG04156	BD52	BEB	Bengali in Bangladesh	female	SAS
HG04157	BD52	BEB	Bengali in Bangladesh	male	SAS
HG04182	BD61	BEB	Bengali in Bangladesh	male	SAS
HG03808	BD20	BEB	Bengali in Bangladesh	female	SAS
HG03809	BD20	BEB	Bengali in Bangladesh	male	SAS
HG03599	BD8	BEB	Bengali in Bangladesh	female	SAS
HG03600	BD09	BEB	Bengali in Bangladesh	male	SAS
HG03602	BD09	BEB	Bengali in Bangladesh	male	SAS
HG04150	BD50	BEB	Bengali in Bangladesh	female	SAS
HG03815	BD22	BEB	Bengali in Bangladesh	male	SAS
HG04151	BD50	BEB	Bengali in Bangladesh	female	SAS
HG03905	BD30	BEB	Bengali in Bangladesh	male	SAS
HG03906	BD30	BEB	Bengali in Bangladesh	male	SAS
HG03804	BD18	BEB	Bengali in Bangladesh	female	SAS
HG03805	BD19	BEB	Bengali in Bangladesh	female	SAS
HG04158	BD53	BEB	Bengali in Bangladesh	male	SAS
HG04159	BD53	BEB	Bengali in Bangladesh	female	SAS
HG04160	BD53	BEB	Bengali in Bangladesh	male	SAS
HG04161	BD54	BEB	Bengali in Bangladesh	male	SAS
HG03797	BD16	BEB	Bengali in Bangladesh	male	SAS
HG03798	BD16	BEB	Bengali in Bangladesh	male	SAS
HG03799	BD17	BEB	Bengali in Bangladesh	female	SAS
HG03800	BD17	BEB	Bengali in Bangladesh	male	SAS
HG03904	BD30	BEB	Bengali in Bangladesh	female	SAS
HG03806	BD19	BEB	Bengali in Bangladesh	male	SAS
HG03807	BD19	BEB	Bengali in Bangladesh	female	SAS
HG03907	BD31	BEB	Bengali in Bangladesh	female	SAS
HG03908	BD31	BEB	Bengali in Bangladesh	male	SAS
HG03914	BD33	BEB	Bengali in Bangladesh	male	SAS
HG04147	BD49	BEB	Bengali in Bangladesh	female	SAS
HG03596	BD7	BEB	Bengali in Bangladesh	male	SAS
HG03796	BD16	BEB	Bengali in Bangladesh	female	SAS
HG04187	BD62	BEB	Bengali in Bangladesh	male	SAS
HG03909	BD31	BEB	Bengali in Bangladesh	male	SAS
HG04148	BD49	BEB	Bengali in Bangladesh	female	SAS
HG04149	BD50	BEB	Bengali in Bangladesh	male	SAS
HG04134	BD45	BEB	Bengali in Bangladesh	male	SAS
HG04184	BD61	BEB	Bengali in Bangladesh	female	SAS
HG03594	BD7	BEB	Bengali in Bangladesh	male	SAS
HG03595	BD7	BEB	Bengali in Bangladesh	female	SAS
HG03598	BD8	BEB	Bengali in Bangladesh	female	SAS
HG03911	BD32	BEB	Bengali in Bangladesh	male	SAS
HG03901	BD29	BEB	Bengali in Bangladesh	female	SAS
HG03902	HG03902	BEB	Bengali in Bangladesh	male	SAS
HG03903	BD29	BEB	Bengali in Bangladesh	female	SAS
HG04186	BD62	BEB	Bengali in Bangladesh	female	SAS
HG04135	BD45	BEB	Bengali in Bangladesh	female	SAS
HG04194	BD65	BEB	Bengali in Bangladesh	male	SAS
HG04195	BD65	BEB	Bengali in Bangladesh	female	SAS
HG04136	BD45	BEB	Bengali in Bangladesh	female	SAS
HG03913	BD33	BEB	Bengali in Bangladesh	female	SAS
HG04144	BD48	BEB	Bengali in Bangladesh	female	SAS
HG04146	BD49	BEB	Bengali in Bangladesh	male	SAS
HG04185	BD62	BEB	Bengali in Bangladesh	male	SAS
HG03910	BD32	BEB	Bengali in Bangladesh	female	SAS
HG04141	BD47	BEB	Bengali in Bangladesh	female	SAS
HG04142	BD47	BEB	Bengali in Bangladesh	female	SAS
HG04140	BD47	BEB	Bengali in Bangladesh	male	SAS
HG00766	HG00766	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02154	HG02154	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG00759	HG00759	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02250	HG02250	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02166	HG02166	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02168	HG02168	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG00867	CDX1	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02153	HG02153	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG00881	HG00881	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02155	HG02155	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02156	HG02156	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02164	HG02164	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG01794	HG01794	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG01795	HG01795	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG01796	HG01796	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG00844	HG00844	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG00851	HG00851	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG00864	HG00864	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG00866	CDX1	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02402	HG02402	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG00879	HG00879	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02152	HG02152	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG01816	HG01816	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG01817	HG01817	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02373	HG02373	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02374	HG02374	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02165	HG02165	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02377	HG02377	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02379	HG02379	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02169	HG02169	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02170	HG02170	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02401	HG02401	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02176	HG02176	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02178	HG02178	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02179	HG02179	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02180	HG02180	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG00956	HG00956	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG00978	HG00978	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG00982	HG00982	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG00983	HG00983	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG01028	HG01028	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG01029	HG01029	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG01797	HG01797	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG01798	HG01798	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02173	HG02173	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG01799	HG01799	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG01800	HG01800	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG02405	HG02405	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02406	HG02406	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02407	HG02407	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02408	HG02408	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02409	HG02409	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG02410	HG02410	CDX	Chinese Dai in Xishuangbanna, China	male	EAS
HG01806	HG01806	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG01807	HG01807	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
HG01808	HG01808	CDX	Chinese Dai in Xishuangbanna, China	female	EAS
